KARTE        PROFIL                  MINUTEN LAEUFE  TITEL
t_d44eafe8   esf-architect                20      1  Onboarding 1/6 — Codebasis-Analyse
t_253f631c   esf-product-manager          14      1  Onboarding 2/6 — Produkt- und Nutzeranalyse
t_6142d9c1   esf-market-analyst            4      1  Onboarding 3/6 — Marktbild
t_74d35a8f   esf-qa-release              103      2  Onboarding 4/6 — E2E-Suite über die Kern-Journeys
t_583218e7   esf-chief-of-staff           11      1  Onboarding 5/6 — Erste Roadmap mit Schätzintervallen
t_95b30a23   esf-chief-of-staff            6      2  GATE Roadmap — Q1-Freigabe
t_84b70d60   esf-video-designer           11      1  Video-Komposition — analysis/market.html
t_895e9428   esf-video-designer            4      1  Video-Komposition — analysis/product.html
t_edbfe97b   esf-video-designer            4      1  Video-Komposition — analysis/codebase.html
t_e9ef7395   esf-video-designer            4      1  Video-Komposition — roadmap/q1-freigegeben.html
t_01e6bead   esf-video-designer            5      1  Video-Komposition — roadmap/q1-entwurf.html
t_a9436877   esf-video-designer            6      1  Video-Komposition — analysis/market.html
t_85674c46   esf-dev-a                    17      1  S1 W 1/1 — Wartung: biome ci gruen
t_e70f40ff   esf-product-manager           7      1  S1 F2 1/5 — Spezifikation F-R1-2 Create-Task-Dialog entschlacken
t_1b5d47a2   esf-estimator                33      2  S1 F2 2/5 — Schätzung F-R1-2
t_d0ebd919   esf-dev-a                    16      1  S1 F2 3/5 — Umsetzung F-R1-2
t_c8e3463c   esf-reviewer                  3      1  S1 F2 4/5 — Review F-R1-2
t_5db4aefa   esf-qa-release               13      1  S1 F2 5/5 — Merge F-R1-2 am Riegel
t_25ea8331   esf-controller                8      1  Kalibrierung S1
t_46063013   esf-chief-of-staff            4      1  Sprint-Abschluss S1
t_da7bbee1   esf-product-manager           6      1  S2 F3 1/4 — Spezifikation F-R1-3 Tastatur & Command-Palette
t_7b63189b   esf-estimator                 3      1  S2 F3 2/4 — Schätzung F-R1-3
t_7c31acd6   esf-dev-a                    55      1  S2 F3 3/4 — Umsetzung F-R1-3 Tastatur & Command-Palette
t_e76c4947   esf-reviewer                 12      1  S2 F3 4/4 — Review F-R1-3
t_ee17923d   esf-qa-release               10      1  S2 F4 1/4 — Spezifikation F-R1-4 E2E-Netz J-05 + J-06
